symbol,name,sector,industry
ANEB,Anebulo Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ANGH,Anghami Inc,N/A,온라인 서비스
ANGI,Angi Inc,N/A,온라인 서비스
ANGO,AngioDynamics Inc,N/A,"의료 장비, 물품 및 유통"
ANIK,Anika Therapeutics Inc,N/A,"의료 장비, 물품 및 유통"
ANIP,ANI Pharmaceuticals Inc,N/A,제약
ANIX,Anixa Biosciences Inc,N/A,생명 공학 및 의학 연구
ANL,Adlai Nortye Ltd ADR,N/A,생명 공학 및 의학 연구
ANNA,AleAnna Inc,N/A,"오일, 가스 탐사 및 생산"
ANNX,Annexon Inc,N/A,생명 공학 및 의학 연구
ANSC,Agriculture & Natural Solutions Acquisition Corp,N/A,투자 지주 회사
ANSCU,Agriculture Natural Solutions Acquisition Units,N/A,투자 지주 회사
ANSS,ANSYS Inc,N/A,소프트웨어
ANTE,Airnet Technology Inc ADR,N/A,광고 및 마케팅
ANTX,AN2 Therapeutics Inc,N/A,생명 공학 및 의학 연구
ANY,Sphere 3D Corp,N/A,블록 체인 및 암호화폐
AONC,American Oncology Network Inc,N/A,의료 시설 및 서비스
AOSL,Alpha and Omega Semiconductor Ltd,N/A,반도체
AOUT,American Outdoor Brands Inc,N/A,오락용 제품
APA,APA Corp (US),N/A,"오일, 가스 탐사 및 생산"
APCX,AppTech Payments Corp,N/A,핀테크
APDN,Applied DNA Sciences Inc,N/A,"의료 장비, 물품 및 유통"
APEI,American Public Education Inc,N/A,기타 교육 서비스 제공
APGE,Apogee Therapeutics Inc,N/A,생명 공학 및 의학 연구
API,Agora Inc ADR,N/A,소프트웨어
APLD,Applied Digital Corp,N/A,블록 체인 및 암호화폐
APLM,Apollomics Inc,N/A,생명 공학 및 의학 연구
APLS,Apellis Pharmaceuticals Inc,N/A,제약
APLT,Applied Therapeutics Inc,N/A,생명 공학 및 의학 연구
APM,Aptorum Group Ltd,N/A,생명 공학 및 의학 연구
APOG,Apogee Enterprises Inc,N/A,건설 자재 및 비품
APP,Applovin Corp,N/A,소프트웨어
APPF,Appfolio Inc,N/A,소프트웨어
APPN,Appian Corp,N/A,소프트웨어
APPS,Digital Turbine Inc,N/A,소프트웨어
APRE,Aprea Therapeutics Inc,N/A,생명 공학 및 의학 연구
APTO,Aptose Biosciences Inc,N/A,제약
APVO,Aptevo Therapeutics Inc,N/A,생명 공학 및 의학 연구
APWC,Asia Pacific Wire & Cable Corporation Ltd,N/A,전기 부품 및 장비
APYX,Apyx Medical Corp,N/A,"의료 장비, 물품 및 유통"
AQB,AquaBounty Technologies Inc,N/A,어업 및 농업
AQMS,Aqua Metals Inc,N/A,특수 채굴 및 금속
AQST,Aquestive Therapeutics Inc,N/A,제약
AQU,Aquaron Acquisition Corp,N/A,투자 지주 회사
AQUNR,Aquaron Acquisition Rights Exp 15th July 2026,N/A,투자 지주 회사
AQUNU,Aquaron Acquisition Units,N/A,투자 지주 회사
ARAY,Accuray Inc,N/A,첨단 의료 장비 및 기술
ARBB,ARB IOT Group Ltd,N/A,IT 서비스 및 컨설팅
ARBE,Arbe Robotics Ltd,N/A,항공우주 및 방위
ARBK,Argo Blockchain PLC ADR,N/A,블록 체인 및 암호화폐
ARBKL,Argo Blockchain 8 75 Senior Notes due 2026,N/A,블록 체인 및 암호화폐
ARCB,ArcBest Corp,N/A,지상 화물 및 물류
ARCC,Ares Capital Corp,N/A,폐쇄형 펀드
ARCT,Arcturus Therapeutics Holdings Inc,N/A,생명 공학 및 의학 연구
ARDX,Ardelyx Inc,N/A,생명 공학 및 의학 연구
AREB,American Rebel Holdings Inc,N/A,항공우주 및 방위
AREC,American Resources Corp,N/A,전기 부품 및 장비
ARGX,argenx SE ADR,N/A,생명 공학 및 의학 연구
ARHS,Arhaus Inc,N/A,가정용 가구 소매
ARKO,Arko Corp.,N/A,"오일, 가스 정제 및 마케팅"
ARKR,Ark Restaurants Corp,N/A,레스토랑 및 바
ARLP,Alliance Resource Partners Units,N/A,석탄
ARM,Arm Holdings PLC ADR,N/A,반도체
AROW,Arrow Financial Corp,N/A,은행
ARQ,Arq Inc,N/A,상품 화학
ARQQ,Arqit Quantum Inc,N/A,소프트웨어
ARQT,Arcutis Biotherapeutics Inc,N/A,생명 공학 및 의학 연구
ARRY,Array Technologies Inc,N/A,재생 가능 에너지 장비 및 서비스
ARTL,Artelo Biosciences Inc,N/A,생명 공학 및 의학 연구
ARTNA,Artesian Resources Corp,N/A,수자원 유틸리티
ARTV,Artiva Biotherapeutics Inc,N/A,생명 공학 및 의학 연구
ARTW,Art's Way Manufacturing Co Inc,N/A,중장비 및 차량
ARVN,Arvinas Inc,N/A,생명 공학 및 의학 연구
ARWR,Arrowhead Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
ASLE,AerSale Corp,N/A,항공우주 및 방위
ASMB,Assembly Biosciences Inc,N/A,생명 공학 및 의학 연구
ASML,ASML Holding NV ADR,N/A,반도체 장비 및 테스트
ASND,Ascendis Pharma A/S ADR,N/A,생명 공학 및 의학 연구
ASNS,Actelis Networks Inc,N/A,건설 및 엔지니어링
ASO,Academy Sports and Outdoors Inc,N/A,의류 및 액세서리 소매
ASPCU,A SPAC III Acquisition Units,N/A,투자 지주 회사
ASPI,ASP Isotopes Inc,N/A,제약
ASPS,Altisource Portfolio Solutions SA,N/A,부동산 서비스
ASRT,Assertio Holdings Inc,N/A,제약
ASRV,Ameriserv Financial Inc,N/A,은행
ASST,Asset Entities Inc,N/A,온라인 서비스
ASTC,Astrotech Corp,N/A,전자 장비 및 부품
ASTE,Astec Industries Inc,N/A,중장비 및 차량
ASTH,Astrana Health Inc,N/A,의료 시설 및 서비스
ASTI,Ascent Solar Technologies Inc,N/A,재생 가능 에너지 장비 및 서비스
ASTL,Algoma Steel Group Inc,N/A,철 및 강철
ASTS,AST SpaceMobile Inc,N/A,무선 통신 서비스
ASUR,Asure Software Inc,N/A,소프트웨어
ASYS,Amtech Systems Inc,N/A,반도체 장비 및 테스트
ATAI,ATAI Life Sciences NV,N/A,생명 공학 및 의학 연구
ATAT,Atour Lifestyle Holdings Ltd ADR,N/A,"호텔, 모텔 및 크루즈 라인"
ATEC,Alphatec Holdings Inc,N/A,"의료 장비, 물품 및 유통"
ATER,Aterian Inc,N/A,"가전제품, 도구 및 가정 용품"
ATEX,Anterix Inc,N/A,무선 통신 서비스
ATGL,Alpha Technology Group Ltd,N/A,IT 서비스 및 컨설팅
ATHA,Athira Pharma Inc,N/A,생명 공학 및 의학 연구
ATHE,Alterity Therapeutics Ltd ADR,N/A,생명 공학 및 의학 연구
ATLC,Atlanticus Holdings Corp,N/A,소비자 대출
ATLCL,Atlanticus Holdings 6 125 Senior Notes due 2026,N/A,소비자 대출
ATLCP,Atlanticus Holdings 7.625 Cumulative Perpetual Pref Shs Series B,N/A,소비자 대출
ATLCZ,Atlanticus Holding 9 25 Senior Notes due 2029,N/A,소비자 대출
ATLN,Atlantic International Corp,N/A,첨단 의료 장비 및 기술
ATLO,Ames National Corp,N/A,은행
ATLX,Atlas Lithium Corp,N/A,특수 채굴 및 금속
ATMC,Alphatime Acquisition Corp,N/A,투자 지주 회사
ATMCR,AlphaTime Acquisition Rights Exp 1st Mar 2028,N/A,투자 지주 회사
ATMCU,AlphaTime Acquisition Units,N/A,투자 지주 회사
ATMV,AlphaVest Acquisition Corp,N/A,투자 지주 회사
ATMVR,AlphaVest Acquisition Rights,N/A,투자 지주 회사
ATMVU,AlphaVest Acquisition Units,N/A,투자 지주 회사
ATNF,180 Life Sciences Corp,N/A,온라인 서비스
ATNI,ATN International Inc,N/A,통합 통신 서비스
ATOM,Atomera Inc,N/A,반도체
ATOS,Atossa Therapeutics Inc,N/A,생명 공학 및 의학 연구
ATPC,Agape ATP Corp,N/A,"의료 장비, 물품 및 유통"
ATRA,Atara Biotherapeutics Inc,N/A,생명 공학 및 의학 연구
ATRC,AtriCure Inc,N/A,"의료 장비, 물품 및 유통"
ATRO,Astronics Corp,N/A,항공우주 및 방위
ATSG,Air Transport Services Group Inc,N/A,"배달, 우편, 항공 화물 및 육상 물류"
ATXG,Addentax Group Corp,N/A,"배달, 우편, 항공 화물 및 육상 물류"
ATXI,Avenue Therapeutics Inc,N/A,생명 공학 및 의학 연구
ATXS,Astria Therapeutics Inc,N/A,생명 공학 및 의학 연구
ATYR,aTyr Pharma Inc,N/A,생명 공학 및 의학 연구
AUBN,Auburn National Bancorporation Inc,N/A,은행
AUDC,AudioCodes Ltd,N/A,통신 및 네트워킹
AUID,Authid Inc,N/A,소프트웨어
AUPH,Aurinia Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
AUR,Aurora Innovation Inc,N/A,소프트웨어
AURA,Aura Biosciences Inc,N/A,생명 공학 및 의학 연구
AUTL,Autolus Therapeutics PLC ADR,N/A,생명 공학 및 의학 연구
AUUD,Auddia Inc,N/A,소프트웨어
AVAH,Aveanna Healthcare Holdings Inc,N/A,의료 시설 및 서비스
AVAV,AeroVironment Inc,N/A,항공우주 및 방위
AVBP,Arrivent Biopharma Inc,N/A,생명 공학 및 의학 연구
AVDL,Avadel Pharmaceuticals PLC,N/A,제약
AVDX,Avidxchange Holdings Inc,N/A,경영 지원 서비스
AVGO,Broadcom Inc,N/A,반도체
AVGR,Avinger Inc,N/A,첨단 의료 장비 및 기술
AVHI,Achari Ventures Holdings Corp I,N/A,투자 지주 회사
AVHIU,Achari Ventures Holdings I Units,N/A,투자 지주 회사
AVIR,Atea Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
AVNW,Aviat Networks Inc,N/A,통신 및 네트워킹
AVO,Mission Produce Inc,N/A,어업 및 농업
AVPT,AvePoint Inc,N/A,IT 서비스 및 컨설팅
AVR,Anteris Technologies Global Corp,N/A,"의료 장비, 물품 및 유통"
AVT,Avnet Inc,N/A,전자 장비 및 부품
AVTE,Aerovate Therapeutics Inc,N/A,생명 공학 및 의학 연구
AVTX,Avalo Therapeutics Inc,N/A,생명 공학 및 의학 연구
AVXL,Anavex Life Sciences Corp,N/A,생명 공학 및 의학 연구
AWH,Aspira Women's Health Inc,N/A,생명 공학 및 의학 연구
AWRE,Aware Inc,N/A,소프트웨어
AXDX,Accelerate Diagnostics Inc,N/A,첨단 의료 장비 및 기술
AXGN,AxoGen Inc,N/A,첨단 의료 장비 및 기술
AXON,Axon Enterprise Inc,N/A,항공우주 및 방위
AXSM,Axsome Therapeutics Inc,N/A,제약
AXTI,AXT Inc,N/A,반도체
AYRO,AYRO Inc,N/A,자동차 및 트럭 제조
AYTU,Aytu Biopharma Inc,N/A,제약
AZ,A2Z Cust2Mate Solutions Corp,N/A,IT 서비스 및 컨설팅
AZI,Autozi Internet Technology (Global) Ltd,N/A,"자동차 차량, 부품 및 서비스 소매"
AZN,AstraZeneca PLC ADR,N/A,제약
AZPN,Aspen Technology Inc,N/A,소프트웨어
AZTA,Azenta Inc,N/A,생명 공학 및 의학 연구
BACK,IMAC Holdings Inc,N/A,의료 시설 및 서비스
BACQ,Bleichroeder Acquisition Corp I,N/A,투자 지주 회사
BACQR,Bleichroeder Acquisition Rights,N/A,투자 지주 회사
BACQU,Bleichroeder Acquisition Units,N/A,투자 지주 회사
BAER,Bridger Aerospace Group Holdings Inc,N/A,법률 및 공공질서 서비스
BAFN,Bayfirst Financial Corp,N/A,은행
BAND,Bandwidth Inc,N/A,소프트웨어
BANF,BancFirst Corp,N/A,은행
BANFP,BancFirst 7.2% Cumulative Pref Shs,N/A,기업 금융 서비스
BANL,CBL International Ltd,N/A,항만 운영 및 서비스
BANR,Banner Corp,N/A,은행
BANX,ArrowMark Financial Corp,N/A,폐쇄형 펀드
BAOS,Baosheng Media Group Holdings Ltd,N/A,광고 및 마케팅
BASE,Couchbase Inc,N/A,소프트웨어
BATRA,Liberty Media Liberty Braves Ord Shs  Series A,N/A,여가 및 오락시설
BATRK,Liberty Media Liberty Braves Ord Shs Series C,N/A,여가 및 오락시설
BAYA,Bayview Acquisition Corp,N/A,투자 지주 회사
BAYAR,Bayview Acquisition Rights,N/A,투자 지주 회사
BAYAU,Bayview Acquisition Units,N/A,투자 지주 회사
BBCP,Concrete Pumping Holdings Inc,N/A,건설 및 엔지니어링
BBGI,Beasley Broadcast Group Inc,N/A,방송
BBIO,BridgeBio Pharma Inc,N/A,제약
BBLG,Bone Biologics Corp,N/A,생명 공학 및 의학 연구
BBSI,Barrett Business Services Inc,N/A,고용 서비스
BCAB,Bioatla Inc,N/A,생명 공학 및 의학 연구
BCAL,California Bancorp,N/A,은행
BCAN,Femto Technologies Inc,N/A,소프트웨어
BCAX,Bicara Therapeutics Inc,N/A,생명 공학 및 의학 연구
BCBP,BCB Bancorp Inc,N/A,은행
BCDA,BioCardia Inc,N/A,생명 공학 및 의학 연구
BCG,Binah Capital Group Inc,N/A,투자 관리 및 펀드 운영
BCLI,Brainstorm Cell Therapeutics Inc,N/A,생명 공학 및 의학 연구
BCML,BayCom Corp,N/A,은행
BCOV,Brightcove Inc,N/A,온라인 서비스
BCOW,1895 Bancorp of Wisconsin Inc,N/A,은행
BCPC,Balchem Corp,N/A,특수 화학제
BCRX,BioCryst Pharmaceuticals Inc,N/A,생명 공학 및 의학 연구
BCTX,Briacell Therapeutics Corp,N/A,생명 공학 및 의학 연구
BCYC,Bicycle Therapeutics PLC ADR,N/A,생명 공학 및 의학 연구
BDMD,Baird Medical Investment Holdings Ltd,N/A,"의료 장비, 물품 및 유통"
BDRX,Biodexa Pharmaceuticals PLC ADR,N/A,생명 공학 및 의학 연구
BDSX,Biodesix Inc,N/A,의료 시설 및 서비스
BDTX,Black Diamond Therapeutics Inc,N/A,생명 공학 및 의학 연구
BEAG,Bold Eagle Acquisition Corp,N/A,투자 지주 회사
BEAGR,Bold Eagle Acquisition Rights,N/A,투자 지주 회사
BEAGU,Bold Eagle Acquisition Units,N/A,투자 지주 회사
BEAM,Beam Therapeutics Inc,N/A,생명 공학 및 의학 연구
BEAT,Heartbeam Inc,N/A,첨단 의료 장비 및 기술
BECN,Beacon Roofing Supply Inc,N/A,건설 자재 및 비품
BEEM,Beam Global,N/A,재생 가능 에너지 장비 및 서비스
BELFA,Bel Fuse Inc Class A,N/A,전자 장비 및 부품
BELFB,Bel Fuse Inc Class B,N/A,전자 장비 및 부품
BENF,Beneficient,N/A,핀테크
BETR,Better Home & Finance Holding Co,N/A,소비자 대출
BFC,Bank First Corp,N/A,은행
BFIN,BankFinancial Corp,N/A,은행
BFRG,BullFrog AI Holdings  Inc.,N/A,생명 공학 및 의학 연구
BFRI,Biofrontera Inc,N/A,제약
BFST,Business First Bancshares Inc,N/A,은행
BGC,Bgc Group Inc,N/A,투자 은행 및 중개 서비스
BGFV,Big 5 Sporting Goods Corp,N/A,기타 전문 소매
BGLC,BioNexus Gene Lab Corp,N/A,생명 공학 및 의학 연구
BGM,BGM Group Ltd,N/A,제약
BGNE,Beigene Ltd ADR,N/A,생명 공학 및 의학 연구
BHAT,Blue Hat Interactive Entertainment Technology,N/A,장난감 및 어린이 제품
BHF,Brighthouse Financial Inc,N/A,복합보험 및 중개인
